1.280,1.165,-0.587,-1.417,-1.625,-0.509,-0.813,-1.019,-0.471,-0.682,-1.053,5.337,-1.137
1.300,1.131,-0.594,-1.434,-1.697,-0.364,-0.849,-1.038,-0.349,-0.704,-0.959,6.097,-1.067
1.320,1.096,-0.599,-1.452,-1.767,-0.217,-0.884,-1.056,-0.214,-0.724,-0.875,6.774,-1.000
1.340,1.059,-0.600,-1.470,-1.835,-0.069,-0.918,-1.072,-0.069,-0.742,-0.799,7.248,-0.936
1.360,1.021,-0.598,-1.489,-1.901,0.080,-0.950,-1.086,0.079,-0.760,-0.730,7.411,-0.876
1.380,0.982,-0.594,-1.509,-1.964,0.228,-0.982,-1.100,0.224,-0.776,-0.668,7.223,-0.817
1.400,0.942,-0.586,-1.529,-2.025,0.375,-1.012,-1.112,0.358,-0.792,-0.611,6.731,-0.762
1.420,0.900,-0.576,-1.550,-2.083,0.520,-1.042,-1.123,0.479,-0.806,-0.558,6.044,-0.709
1.440,0.857,-0.563,-1.571,-2.139,0.662,-1.069,-1.133,0.585,-0.819,-0.511,5.283,-0.659
1.460,0.813,-0.547,-1.593,-2.192,0.802,-1.096,-1.143,0.676,-0.831,-0.466,4.536,-0.611
1.480,0.768,-0.528,-1.616,-2.242,0.937,-1.121,-1.151,0.753,-0.842,-0.426,3.856,-0.565
1.500,0.723,-0.507,-1.639,-2.290,1.068,-1.145,-1.159,0.818,-0.853,-0.388,3.262,-0.521
1.520,0.676,-0.483,-1.662,-2.334,1.193,-1.167,-1.166,0.873,-0.862,-0.352,2.755,-0.479
1.540,0.628,-0.456,-1.686,-2.376,1.312,-1.188,-1.172,0.920,-0.871,-0.320,2.327,-0.438
1.560,0.580,-0.428,-1.710,-2.415,1.425,-1.208,-1.178,0.959,-0.879,-0.289,1.967,-0.399
1.580,0.531,-0.397,-1.734,-2.451,1.531,-1.226,-1.183,0.992,-0.886,-0.259,1.663,-0.362
1.600,0.481,-0.365,-1.759,-2.484,1.630,-1.242,-1.188,1.020,-0.893,-0.232,1.406,-0.326
1.620,0.431,-0.330,-1.784,-2.514,1.720,-1.257,-1.192,1.044,-0.899,-0.206,1.187,-0.291
1.640,0.380,-0.294,-1.810,-2.540,1.802,-1.270,-1.196,1.064,-0.904,-0.181,0.997,-0.257
1.660,0.329,-0.257,-1.835,-2.564,1.875,-1.282,-1.199,1.081,-0.908,-0.157,0.832,-0.224
1.680,0.277,-0.218,-1.861,-2.584,1.938,-1.292,-1.202,1.094,-0.912,-0.134,0.686,-0.192
1.700,0.225,-0.178,-1.887,-2.601,1.992,-1.301,-1.204,1.106,-0.915,-0.111,0.555,-0.160
1.720,0.173,-0.137,-1.913,-2.615,2.036,-1.308,-1.206,1.114,-0.918,-0.089,0.436,-0.129
1.740,0.121,-0.096,-1.940,-2.626,2.070,-1.313,-1.207,1.121,-0.920,-0.068,0.326,-0.099
1.760,0.068,-0.054,-1.966,-2.634,2.094,-1.317,-1.208,1.125,-0.921,-0.047,0.223,-0.068
1.780,0.015,-0.012,-1.992,-2.638,2.107,-1.319,-1.208,1.128,-0.922,-0.026,0.124,-0.038
1.800,-0.038,0.030,-2.019,-2.639,2.110,-1.319,-1.209,1.128,-0.922,-0.006,0.027,-0.009
1.820,-0.090,0.072,-2.045,-2.636,2.103,-1.318,-1.208,1.127,-0.922,0.015,-0.069,0.021
1.840,-0.143,0.114,-2.072,-2.631,2.085,-1.315,-1.208,1.124,-0.921,0.035,-0.166,0.051
1.860,-0.195,0.155,-2.098,-2.622,2.057,-1.311,-1.206,1.118,-0.919,0.056,-0.267,0.081
